T,TM,tm,H,P,VV,V,VM
28.4,30.5,24.7,82,5.08,2.7,18,25.9
,,,,,,,
,,,,,,,
,,,,,,,
27.2,30.6,24.6,89,2.03,2.6,12.6,24.1
28.4,31.3,24.2,86,17.02,3.2,15.4,24.1
29,31,24.6,83,3.05,3.4,18,25.9
,,,,,,,
,,,,,,,
,,,,,,,
26.7,29.4,24.6,90,9.91,2.7,11.7,25.9
26.9,29,22.8,89,7.11,2.4,11.5,24.1
27.8,31.8,23.6,84,26.92,3.1,14.1,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27.8,29.4,22,86,107.95,2.6,18.3,27.8
28.6,31.3,23,79,14.99,3.4,15.9,24.1
28.3,31.5,24.6,80,0,3.2,18,25.9
,,,,,,,
,,,,,,,
,,,,,,,
26.9,29,23.4,89,18.03,2.4,16.5,31.3
26.1,28,22.7,93,78.99,2.1,14.3,22.2
27.3,30,22.8,88,99.06,2.4,17.6,25.9
,,,,,,,
,,,,,,,
,,,,,,,
27.1,29,23.2,87,27.94,2.4,18.7,35.2
27.4,29,24.6,86,7.11,2.7,16.5,24.1
27.3,29,24,87,6.1,2.6,18.3,27.8
,,,,,,,
,,,,,,,
,,,,,,,
27.3,29.6,24.6,86,30.99,2.7,17.8,27.8
25.9,27.5,24.2,93,4.06,1.9,18.9,33.5
26.7,28,22.2,89,91.95,2.4,18.3,27.8
27.2,30.8,24.9,85,9.91,3.4,15.7,27.8
,,,,,,,
,,,,,,,
,,,,,,,
26.4,29.5,23.2,88,10.92,3.1,13.5,24.1
27.1,29,24,85,11.94,3.2,17,24.1
27.3,29,23.8,83,7.11,3.1,17.8,24.1
,,,,,,,
,,,,,,,
,,,,,,,
26.8,28.7,23.3,87,5.08,2.6,16.3,24.1
27.3,29.4,23.8,86,7.11,2.7,16.3,22.2
27.6,30,23.8,84,10.92,2.9,16.9,27.8
,,,,,,,
,,,,,,,
,,,,,,,
28.1,30.8,23.6,78,3.05,3.2,17.6,25.9
28.1,30.9,24.6,78,0.76,3.7,17.2,25.9
28.2,31.5,25.1,77,0,3.7,18.5,27.8
,,,,,,,
,,,,,,,
,,,,,,,
26.9,28.3,24,83,3.05,2.9,13.9,24.1
27.1,33,23.6,85,9.91,3.2,10.6,20.6
27.9,31.5,23.6,79,4.06,3.7,14.8,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27.4,30.3,24,80,13.97,2.9,10,18.3
28.2,31.2,24.2,76,1.02,3.7,10.7,20.6
28.3,31.5,24.4,75,0,3.5,11.1,22.2
28.5,31.5,25,73,0,4,13.3,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27.6,31,24.6,78,0.76,3.9,9.6,25.9
28,31.5,24.8,76,1.02,3.5,9.3,20.6
27.5,29.5,26,84,0,2.9,9.1,27.8
,,,,,,,
,,,,,,,
,,,,,,,
28.8,32.7,25,81,3.05,2.4,7.6,18.3
28.7,32.4,25.6,82,0,2.4,10.7,24.1
27.4,31.8,24,88,5.08,2.6,10.4,27.8
,,,,,,,
,,,,,,,
,,,,,,,
25.9,29,22.4,93,26.92,2.1,7.8,18.3
28,31.8,24.8,85,4.06,2.9,12.4,22.2
28.7,31.9,26.8,80,0,3.7,17.2,24.1
,,,,,,,
,,,,,,,
,,,,,,,
27,30.8,24.4,86,33.02,2.9,13.7,25.9
27.2,31.8,25,88,1.02,2.7,15.2,27.8
26.4,31.5,24.6,88,13.97,2.6,10.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28.5,31.8,26.7,80,2.03,3.2,14.1,22.2
28.3,32.4,26,77,0,3.4,13.3,24.1
29.1,33.6,25.4,76,0,3.1,13.5,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27.3,30.5,25,82,19.05,2.7,7,18.3
28.1,31.5,25.1,78,12.95,3.1,12.2,22.2
28,31.4,25.3,78,0,4,13.3,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28.6,31.2,24.2,80,12.95,4,11.3,22.2
28.3,30.9,26,84,0,3.1,9.6,20.6
27.8,30,25.7,85,10.92,2.3,8,16.5
,,,,,,,
,,,,,,,
,,,,,,,
30.6,36.5,24,64,0,3.1,7.6,18.3
30.5,35,24.8,65,0,2.7,6.9,18.3
30,35.2,23.4,56,0,3.1,8.3,16.5
,,,,,,,
,,,,,,,
,,,,,,,
29.6,34.2,22.7,65,0,2.9,8.7,20.6
29.2,32.4,24.6,78,0,2.7,8.9,22.2
29.1,32.4,26.2,83,0,2.9,10.7,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29.4,34.7,21.9,56,0,2.9,6.9,20.6
29,34.3,21.2,53,0,3.1,9.6,16.5
29.7,35.3,21.8,53,0,3.1,10.2,16.5
30.4,35.4,22.6,54,0,2.9,9.8,16.5
,,,,,,,
,,,,,,,
,,,,,,,
28.8,34,21.9,57,0,2.7,7.6,13
28.6,33,22.2,60,0,2.6,8,16.5
